id 	 p0 	 p1 	 p2
0 	7.78453 	0.123876 	4.24098e-08
1   6.79956		0.123701	6.36189e-08
1 	7.78453 	0.123876 	4.24098e-08
2 	7.78233 	0.124118 	3.81881e-08
3 	-9.58748 	0.125838 	6.95484e-09
4 	7.16106 	0.123808 	4.39977e-08
5 	5.73876 	0.124162 	3.8705e-08
6 	6.07556 	0.124069 	3.69082e-08
7 	7.02334 	0.123534 	7.45257e-08
8 	5.52428 	0.123907 	4.89052e-08
9 	7.06378 	0.124047 	3.90722e-08
10 	13.8634 	0.122352 	1.25071e-07
11 	7.07514 	0.124133 	3.31075e-08
12 	5.92747 	0.123877 	3.73093e-08
13 	4.48746 	0.12457 	3.54876e-09
14 	5.82009 	0.124109 	3.99765e-08
15 	7.17215 	0.123897 	3.65917e-08
16 	6.60196 	0.124177 	3.71682e-08
17 	4.19753 	0.124526 	1.50032e-09
18 	5.38441 	0.123973 	4.40726e-08
19 	4.91828 	0.124475 	3.5166e-08
20 	4.82     	0.123779 	8.03778e-09
21 	6.80118 	0.124207 	3.2037e-08
22 	6.83606 	0.124006 	4.27488e-08
23 	7.03759 	0.123696 	3.93118e-08
24 	6.51026 	0.123948 	3.72968e-08
25 	6.58627 	0.123576 	5.58754e-08
26 	-0.86033 	0.124715 	2.41637e-08
27 	6.62218 	0.124029 	4.09274e-08
28 	7.87221 	0.124016 	3.8007e-08
29 	6.73593 	0.12399 	3.95545e-08
30 	7.31101 	0.124007 	3.92773e-08
31 	7.30753 	0.122819 	5.48081e-08
32 	7.19376 	0.123545 	3.69465e-08
33 	7.31935 	0.123679 	4.318e-08
34 	7.41282 	0.122229 	4.89387e-08
35 	6.88974 	0.124561 	4.6866e-08
36 	5.86104 	0.125813 	4.33806e-08
37 	6.63177 	0.123882 	4.61853e-08
38 	6.01338 	0.123921 	4.11588e-08
42 	6.39815 	0.123269 	4.69728e-08
43 	6.32641 	0.124093 	5.27802e-08
44 	5.95204 	0.124024 	4.4803e-08
