id	k	b
0	0.996129	-91.5088
1	1.00402	-88.5634
2	0.985988	12.1918
3	1.00106	-115.655
4	0.98713	13.6605
5	0.999012	-58.2931
6	0.992983	-48.6761
7	0.989743	-25.9526
8	1.99727	-473.34
10	0.999779	-79.6164
11	1.0051	-104
12	0.962508	-97.536
13	0.997013	-70.8094
14	0.998117	-70.7289
15	0.972628	-140.796
16	0.998596	-51.7319
17	0.99799	-36.4822
18	1.0018	-112.533
19	0.987075	-1.07438
20	1.00368	-106.337
21	0.992455	-68.1956
22	0.996895	-41.4283
23	0.998512	-56.529
24	0.998668	-82.8488
25	0.989378	-27.6529
26	0.999054	-67.2114
27	0.998897	-71.7399
29	0.999094	-58.0229
30	1.00708	-105.181
31	1.00199	-87.0804
32	1.00103	-75.4808
33	0.994598	-46.4077
34	0.974552	134.887
35	0.996016	-40.4135
36	0.994998	-30.0157
37	1.0003	-54.8827
38	0.9914	-9.98235
39	0.998752	-77.3784
40	0.997855	-51.9303
41	1.00152	-91.9692
42	0.994285	-47.1834
43	0.999855	-77.3751
44	0.995677	-39.085
45	0.995455	-69.0216
46	0.994373	-12.164
47	1.00115	-79.6185
48	0.993025	-20.736
49	1.00431	-101.183
50	1.00148	-64.9466
51	0.994474	-13.8072
52	1.00141	-74.0349
53	0.99886	-52.8275
54	0.989514	9.50575
55	0.991343	13.2937
56	0.992768	-6.62577
57	0.991215	4.14266
58	0.992557	5.35377
59	0.989961	0.224693
60	1.01315	-165.939
61	1.07463	-718.148
62	1.01939	-214.354
63	1.02223	-199.525
64	1.0146	-191.513
65	1.01929	-198.096
66	1.01633	-143.442
67	1.02521	-245.656
68	1.01616	-164.034
69	1.02093	-190.554
70	1.02382	-248.09
71	1.01329	-154.09
72	1.02105	-197.412
73	1.01782	-184.388
74	1.01505	-174.886
75	1.02289	-177.446
76	1.01649	-194.879
77	1.02362	-228.116
78	1.0074	-22.2228
79	1.01706	-202.62
80	1.03574	-326.359
81	1.0421	-336.002
82	1.02967	-304.298
83	1.0213	-224.521
84	1.01956	-181.042
85	1.03286	-321.401
86	1.02731	-297.225
88	1.01426	-136.714
89	1.02565	-245.062
90	1.03808	-310.979
91	1.012	-169.735
92	1.01587	-180.757
93	1.02044	-195.997
94	1.03231	-320.995
95	1.03449	-345.337
96	1.0266	-279.451
97	1.02979	-325.421
98	1.00468	-57.7189
102	1.02151	-197.879
103	1.01146	-177.994
104	1.0192	-226.502
105	1.01758	-208.14
106	1.02578	-243.29
107	1.01763	-196.951
108	1.02501	-249.513
109	1.01988	-266.868
110	1.03116	-338.072
111	1.0373	-368.753
112	1.03196	-278.743
113	1.02804	-274.766
114	1.03435	-306.633
115	1.02821	-284.952
116	1.03034	-282.443
117	1.02289	-262.225
118	1.0227	-268.94
119	1.02147	-241.228
