id	k	b
0	0.241401	1478.48
1	0.985868	-96.7394
2	1.00799	-83.8114
3	0.962639	5.61434
4	1.01364	-75.5372
5	0.991671	-53.0639
6	1.00211	-30.6912
7	0.960082	-5.03351
8	0.999747	-18.1301
9	1.05412	-52.7296
10	1.03769	-67.5905
11	1.00334	-44.4242
12	1.01389	-27.7314
13	0.998849	-33.0217
14	1.00132	-3.96273
15	1.01975	-15.8779
16	0.993279	17.4152
17	0.998876	-25.8011
18	1.03655	-64.2698
19	1.00575	-25.1116
20	1.00043	-1.35017
21	1.04446	-53.6237
22	0.998758	22.9414
23	1.03026	-55.6377
24	1.01232	-54.9123
25	0.993147	4.25454
26	1.03257	-150.085
27	1.01357	-8.9142
28	0.986933	-15.4971
29	0.962074	10.7682
30	0.980956	36.7735
32	0.987763	22.1578
33	0.992551	-50.789
34	1.00265	-38.8082
35	0.978681	-14.5926
36	0.968328	-49.3453
37	0.982088	-27.5202
38	0.969002	24.4527
39	1.00074	-72.4189
